8.743729999999998170e-02 1.995010979919658190e-03
8.898100000000000454e-02 1.018484658696440330e-03
8.831850000000000811e-02 5.592559789577591879e-04
8.915589999999999626e-02 5.647331139573814971e-04
8.874350000000000294e-02 6.266316701220894358e-04
9.038709999999999800e-02 6.123653239692779682e-04
8.924350000000000338e-02 4.405306459260249731e-04
8.931850000000000900e-02 4.894049958878629852e-04
9.007479999999998266e-02 3.587026066256019329e-04
9.006220000000000891e-02 6.007807919699169243e-04
9.116849999999999954e-02 2.738927709889409025e-04
9.040609999999998925e-02 8.451322322571783998e-04
8.745599999999999208e-02 5.770493913002585230e-04
8.796840000000000215e-02 4.421450440749060133e-04
8.823109999999999287e-02 4.962191955174639815e-04
8.683090000000000253e-02 1.082235413392114345e-03
8.654989999999999906e-02 5.257530694156684233e-04
8.941840000000000899e-02 1.168816598102545177e-03
9.149980000000000613e-02 3.447282407926555462e-04
9.082479999999999720e-02 8.691619872037660219e-04
8.779359999999999942e-02 7.217528940018207986e-04
9.019970000000000765e-02 5.504214839557052029e-04
9.079339999999999633e-02 6.537256611148143347e-04
8.972470000000001833e-02 7.866726193277617969e-04
9.003720000000001167e-02 6.761638558811027769e-04
9.041219999999999812e-02 1.095866123210313507e-03
8.986229999999999218e-02 1.521664815259919298e-03
8.980609999999999982e-02 1.020499137677247656e-03
8.894350000000000867e-02 8.840629219687939737e-04
8.884989999999999555e-02 8.724541764471072970e-04
9.085590000000000332e-02 1.737645962214399856e-03
8.993099999999999705e-02 1.086237082777053754e-03
8.900600000000000178e-02 1.666976604514892489e-03
